"YieldM","Yieldsd","Id","PLANTED","HARVESTED","POPULATION","PC","ROWWIDTH","Soil","TILLAGE","HERBICIDE","FUNGICIDE","INSECTICIDE","Latitude","Longitude","Family","State","pYear"
235.73,7.33,"43162",2016-04-25,2016-10-17,34000," Soybeans",30," Sandy Clay Loam"," Conv.-Till"," 1 1/2 qt Cinch, 4 oz  Realm Q",NA,NA,41.6,-91.16,"Corn","IA",2016
254.37,17.21,"43164",201-04-25,201-09-20,35600," Soybeans",30," Silty Clay Loam"," Strip-Till"," Roundup",NA,NA,40.74,-89,"Corn","IL",201
238.05,7.19,"43168",201-04-23,201-09-27,35600," Soybeans",30," Silty Clay Loam"," Strip-Till"," Roundup",NA,NA,40.35,-89.55,"Corn","IL",201
230.57,9.65,"43170",2016-04-25,2016-10-10,34000," Corn",30," Silt Loam"," Chisel"," 3 qts Acuron",NA,NA,41.15,-91.64,"Corn","IA",2016
251.2,6.79,"43171",201-04-19,201-09-15,36000," Soybeans",30," Silty Clay Loam"," Strip-Till"," Roundup",NA,NA,40.7,-89.85,"Corn","IL",201
247.55,24.05,"43172",201-04-23,201-10-01,35000," Soybeans",30," Clay Loam"," Field Cultivation"," Realm Q, Break Free",NA,NA,43.09,-94.68,"Corn","IA",201
255.68,14.02,"43173",201-04-16,201-10-12,34500," Soybeans",30," Loam"," V-Rip / Field Cultivation"," None",NA,NA,42.68,-94.77,"Corn","IA",201
229.57,19.02,"43175",201-04-16,201-09-30,35000," Soybeans",30," Clay Loam"," Moldboard / Field Cultivation"," None",NA,NA,42.76,-94.68,"Corn","IA",201
201.12,10.56,"43176",2016-04-19,2016-09-03,32000," Soybeans",30," Silty Clay Loam"," No-Till"," 2oz Corvus, 3oz Capreno",NA,NA,36.55,-88.44,"Corn","KY",2016
171.33,11.09,"43178",2016-04-25,2016-10-27,34500," Soybeans",30," Sandy Clay Loam"," Field Cultivation"," Lexar",NA,NA,41.01,-85.77,"Corn","IN",2016
207.14,10.6,"43179",201-04-26,201-10-19,34000," Soybeans",30," Sandy Clay Loam"," Field Cultivation"," None",NA,NA,43.04,-93.42,"Corn","IA",201
224.84,10.34,"43181",2016-04-26,2016-10-19,34500," Soybeans",30," Clay Loam"," Field Cultivation / Disc / Vertical-Till"," Acuron",NA,NA,41.73,-95.54,"Corn","IA",2016
133.47,10.85,"43183",2016-04-25,2016-10-01,28000," Soybeans",30," Loamy Sand"," Field Cultivation"," None",NA,NA,36.85,-89.37,"Corn","MO",2016
249.33,11.03,"43185",2016-04-26,2016-09-29,34000," Corn",30," Silty Clay Loam"," Chisel"," Roundup",NA,NA,41.33,-90.37,"Corn","IL",2016
245.66,7.85,"43187",2016-04-26,2016-10-19,33500," Soybeans",30," Silt Loam"," Field Cultivation / Inline Ripper"," Atrazine, 2,4-D, Callisto",NA,NA,40.62,-89.17,"Corn","IL",2016
107.06,4.16,"43188",2015-10-21,2015-06-01,1900000," Corn",7.5," Clay Loam"," No-Till"," None"," PropiMax",NA,36.66,-87.56,"Wheat","KY",2015
93.92,3.24,"43189",2015-11-04,2015-06-01,1.8e+07," Corn",7.5," Clay Loam"," No-Till"," None"," Priaxor",NA,36.66,-87.34,"Wheat","Ky",2015
190.4,NA,"43190",2016-04-23,2016-09-20,32000,NA,NA," Silty Clay Loam",NA," 24 oz Roundup, 3  oz Capreno, 1.5 qts",NA,NA,37.06,-89,"Corn","KY",2016
209.84,17.41,"43194",201-04-26,201-10-01,34500," Soybeans",30," Clay Loam"," Field Cultivation"," Corvus",NA,NA,41.88,-93.43,"Corn","IA",201
230.29,12.92,"43196",201-04-17,201-09-12,34000," Soybeans",30," Clay Loam"," Field Cultivation"," Corvus",NA,NA,39.4,-89.18,"Corn","IL",201
213.66,9.55,"43198",2016-04-16,2016-09-21,36000," Corn",30," Silty Clay Loam"," Field Cultivation"," None"," Headline AMP",NA,37.64,-87.77,"Corn","KY",2016
178.73,23.33,"43199",2016-04-16,2016-09-13,32000,NA,NA," Clay",NA," 10 oz. Verdict, 32 oz. Roundup",NA,NA,37.8,-87.34,"Corn","KY",2016
225.84,8.04,"43204",201-04-26,201-10-03,36000," Soybeans",30," Loam"," Chisel / Field Cultivation / Disc"," Roundup",NA,NA,40.31,-87.9,"Corn","IL",201
171.88,12.42,"43207",2016-04-26,2016-10-31,29500," Soybeans",30," Clay Loam"," Field Cultivation"," 4 oz Capreno",NA,NA,40.17,-90.47,"Corn","IL",2016
230.13,7.02,"43208",201-04-24,201-10-23,36000," Soybeans",30," Loam"," Field Cultivation"," Acuron, Atrazine, Roundup",NA,NA,42.37,-92.51,"Corn","IA",201
240.79,13.83,"43211",201-05-19,201-10-20,35000," Soybeans",30," Loam"," Field Cultivation"," Acuron, Roundup",NA,NA,42.25,-92.94,"Corn","IA",201
209.55,7.91,"43213",201-04-27,201-09-27,32500," Soybeans",30," Clay Loam"," Chisel"," Superb HC, Roundup",NA,NA,39.96,-86.4,"Corn","IN",201
249.24,8.49,"43217",201-04-19,201-09-28,35000," Corn",30," Silt Loam"," Field Cultivation"," Corvus",NA,NA,42.51,-93.64,"Corn","IA",201
247.77,9.62,"43218",201-04-14,201-10-01,38000," Soybeans",22," Clay Loam"," No-Till"," quart Halex GT",NA,NA,36.65,-87.34,"Corn","KY",201
207.31,7.21,"43219",201-04-23,201-09-27,32000," Soybeans",30," Sandy Loam"," Chisel / Field Cultivation"," Roundup",NA,NA,41.12,-87.15,"Corn","IN",201
199.94,15.41,"43220",201-04-26,201-10-15,32000," Corn",30," Sandy Loam"," Chisel / Field Cultivation"," None",NA,NA,41.12,-87.05,"Corn","IN",201
209.01,6.78,"43224",2016-04-25,2016-10-17,33000," Soybeans",30," Sandy Loam"," No-Till"," Corvus",NA,NA,41.32,-86.26,"Corn","IN",2016
216.9,19.18,"43226",201-04-24,201-10-14,34000," Soybeans",30," Silt Loam"," Field Cultivation"," 1.5 qt Break Free",NA,NA,42.13,-91.6,"Corn","IA",201
183.94,18.19,"43228",2016-04-26,2016-09-29,33000," Soybeans",30," Sandy Clay Loam"," Conv.-Till"," Corvus",NA,NA,41.31,-86.62,"Corn","IN",2016
158.01,18.26,"43229",201-04-26,201-09-29,32500," Soybeans",30," Sandy Clay Loam"," Conv.-Till"," Corvus",NA,NA,41.31,-86.62,"Corn","IN",201
202.51,17.16,"43231",2016-04-24,2016-09-24,34500," Soybeans",30," Clay Loam"," No-Till"," SureStart, Hornet, Durango",NA,NA,39.42,-83.59,"Corn","OH",2016
225.89,11.41,"43233",201-04-27,201-10-25,34000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation / Conv.-Till"," None",NA,NA,44.12,-88.61,"Corn","WI",201
243.63,7.73,"43236",2016-04-16,2016-10-25,34000," Soybeans",30," Silt Loam"," Field Cultivation"," None",NA,NA,40.55,-90.53,"Corn","IL",2016
185.14,4.45,"43237",2016-04-29,2016-09-21,35000," Soybeans",30," Loam"," No-Till"," None",NA,NA,40.33,-90.25,"Corn","IL",2016
226.86,15.63,"43238",2016-04-18,2016-10-29,34000," Corn",30," Silty Clay Loam"," Field Cultivation / Disc"," None",NA,NA,40.44,-90.5,"Corn","IL",2016
240.86,14.36,"43239",2016-04-18,2016-09-29,35000," Corn",30," Silty Clay Loam"," Field Cultivation / Strip-Till"," None",NA,NA,40.54,-90.46,"Corn","IL",2016
229.24,8.79,"43240",2016-04-19,2016-09-27,33000," Corn",30," Sandy Clay Loam"," Field Cultivation"," None",NA,NA,40.19,-89.82,"Corn","IL",2016
233.44,6.71,"43241",2016-04-29,2016-09-26,34000," Soybeans",30," Sandy Clay Loam"," Field Cultivation / Strip-Till"," None",NA,NA,40.11,-90.16,"Corn","IL",2016
229.22,9.05,"43242",201-04-29,201-10-03,34000," Soybeans",30," Silty Clay Loam"," Field Cultivation / No-Till"," None",NA,NA,40.4,-90.1,"Corn","IL",201
241.24,16.73,"43249",2016-04-14,2016-09-20,34000," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," 2.5 pts. TripleFLEX, 1.5 qt. Atrazine",NA,NA,40.77,-91.48,"Corn","IA",2016
241.67,26.82,"43253",2016-05-13,2016-10-24,34000," Soybeans",30," Clay Loam"," Field Cultivation / Disc / Bedder-Roller"," 3.5 qt Fultime, 4 oz Hornet",NA,NA,40.98,-91.51,"Corn","IA",2016
68.73,6.41,"43255",2016-04-29,2016-10-19,150000," Corn",15," Loam"," Field Cultivation"," Roundup",NA,NA,37,-85.79,"Soybean","KY",2016
220.56,10.11,"43256",201-04-25,201-10-03,33000," Soybeans",30," Loam"," Conv.-Till"," Acuron",NA,NA,40.52,-86.27,"Corn","IN",201
186.18,17.09,"43257",201-04-25,201-10-04,29900,NA,NA," Clay Loam",NA," 1 Qt Roundup PowerMAX, 1 Pt 2,4-D, 1",NA,NA,37.77,-86.02,"Corn","KY",201
223.56,4.97,"43259",201-04-30,201-11-02,34000," Corn",30," Clay Loam"," Conv.-Till"," None",NA,NA,43.87,-88.3,"Corn","WI",201
69.29,3.22,"43260",2016-04-30,2016-09-29,165000," Corn",30," Clay"," Conv.-Till"," None",NA,NA,44.12,-88.58,"Soybean","WI",2016
184.09,8.03,"43261",201-04-30,201-11-04,34000," Wheat",30," Loam"," Conv.-Till"," None",NA,NA,44.58,-87.8,"Corn","WI",201
241.2,8.59,"43262",201-04-26,201-09-26,37000," Soybeans",30," Loam"," Field Cultivation"," Corvus, Durango, Status",NA,NA,41.71,-90.77,"Corn","IA",201
75.01,3.29,"43263",2016-04-26,2016-10-14,138000," Corn",30," Loam"," Strip-Till"," FirstRate",NA,NA,39.67,-83.66,"Soybean","OH",2016
216.5,NA,"43265",2016-04-26,2016-10-06,33000," Soybeans",30," Clay Loam"," No-Till"," Simazat 4L, Atrazine, Roundup",NA,NA,36.75,-85.13,"Corn","KY",2016
197.38,8.93,"43267",201-04-26,201-09-28,34000," Soybeans",36," Sandy Clay Loam"," No-Till"," Corvus",NA,NA,41.1,-87.81,"Corn","IL",201
208.43,11.01,"43269",2016-04-25,2016-09-23,33000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.88,-82.61,"Corn","OH",2016
211.24,18.58,"43270",2016-04-20,2016-10-01,32000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.73,-82.89,"Corn","OH",2016
187.19,12.85,"43272",2016-04-20,2016-10-01,33000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.79,-82.86,"Corn","OH",2016
198.16,5.77,"43273",2016-04-23,2016-10-01,33000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,39.01,-82.61,"Corn","OH",2016
227.12,8.46,"43275",201-04-26,201-11-01,35000," Soybeans",30," Silt Loam"," Chisel / Field Cultivation"," 32 oz. Atrazine, 3.5 oz. Corvus",NA,NA,41.29,-88.88,"Corn","IL",201
264.17,13.36,"43276",201-04-25,201-09-19,32500," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," 48 oz. Acuron",NA,NA,40.87,-88.78,"Corn","IL",201
192.58,17.21,"43277",2016-04-25,2016-10-17,32000," Soybeans",30," Silt Loam"," No-Till"," Roundup PowerMAX",NA,NA,40.9,-94.22,"Corn","IA",2016
113.58,11.25,"43278",2016-04-24,2016-10-15,34300," Soybeans",30," Clay Loam"," Conv.-Till / Min.-Till"," None",NA,NA,41.23,-82.89,"Corn","OH",2016
193.94,12.04,"43279",2016-04-23,2016-10-31,32500," Soybeans",30," Clay Loam"," Chisel / Disc"," None",NA,NA,41.21,-82.67,"Corn","OH",2016
231.66,8.83,"43281",2016-04-26,2016-09-15,35000," Soybeans",30," Silty Clay Loam"," Field Cultivation / Vertical-Till"," Harness, Roundup",NA,NA,39.84,-89.35,"Corn","IL",2016
178.1,11.51,"43282",201-05-25,201-11-01,32500," Soybeans",30," Clay Loam"," No-Till"," None",NA,NA,41.19,-83.25,"Corn","OH",201
222.07,11.59,"43283",2016-04-24,2016-09-27,34000," Corn",30," Silt Loam"," Field Cultivation / Disk-Rip"," SureStart, Atrazine",NA,NA,39.13,-89.83,"Corn","IL",2016
229.19,9.94,"43286",201-05-07,201-11-04,32000," Corn",30," Sandy Clay Loam"," Conv.-Till"," Roundup Original Max",NA,NA,41.49,-86.76,"Corn","IN",201
228.86,4.36,"43287",2016-04-23,2016-10-07,35000," Soybeans",30," Silt Loam"," Strip-Till"," 4 oz. Status, 7 oz. Anthem",NA,NA,40.81,-88.19,"Corn","IL",2016
214.54,7.87,"43289",201-04-30,201-10-14,34000," Soybeans",30," Clay Loam"," Conv.-Till"," Lumax",NA,NA,41.46,-86.28,"Corn","IN",201
233.93,5.8,"43292",201-04-27,201-11-05,36000," Soybeans",30," Loam"," No-Till"," Roundup",NA,NA,41.29,-90.1,"Corn","IL",201
246.89,9.33,"43295",201-04-13,201-10-01,33000," Soybeans",30," Loam"," No-Till"," Roundup Original",NA,NA,41.5,-94.24,"Corn","IA",201
210.32,12.11,"43300",2016-04-19,2016-09-19,35900," Soybeans",30," Silt Loam"," Field Cultivation"," Corvus",NA,NA,39.4,-88.63,"Corn","IL",2016
60.74,9.52,"43301",2016-05-06,2016-10-01,140000," Corn",30," Silty Clay Loam"," Conv.-Till"," Liberty",NA,NA,42.85,-93.76,"Soybean","IA",2016
218.62,8.41,"43302",201-05-05,201-10-14,34000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," SureStart",NA,NA,43.08,-94.17,"Corn","IA",201
210.44,3.3,"43303",2016-05-06,2016-10-17,35000,NA,NA," Clay Loam",NA," Harness, Harness, Canopy XL, Canopy",NA,NA,42.53,-94.84,"Corn","IA",2016
247.72,7.17,"43304",201-05-05,201-09-28,36000," Corn",30," Silty Clay Loam"," Chisel"," Liberty",NA,NA,41.63,-90.25,"Corn","IL",201
224.9,11.62,"43305",2016-05-06,2016-10-17,34000," Alfalfa",30," Silt Loam"," Chisel / Field Cultivation"," 5.6 oz Corvus, .5 oz Armezon",NA,NA,41.54,-91.4,"Corn","IA",2016
210.06,24.89,"43306",2016-05-07,2016-10-08,34700," Soybeans",30," Silt Loam"," Field Cultivation"," Harness Xtra, Balance Flexx",NA,NA,41.49,-91.73,"Corn","IA",2016
79.8,6.73,"43307",2016-05-06,2016-10-11,170000," Corn",10," Silt Loam"," Chisel"," 1.5pts Boundary, 3.5pts Flexstar GT 3.5",NA,NA,41.15,-91.62,"Soybean","IA",2016
60.26,7.14,"43309",2016-05-07,2016-10-11,159000," Corn",30," Clay Loam"," Chisel / Field Cultivation"," Roundup",NA,NA,40.82,-88.08,"Soybean","IL",2016
188.41,17.06,"43312",201-05-06,201-10-31,36500," Soybeans",30," Clay Loam"," Moldboard"," Roundup Original Max",NA,NA,41.54,-88.16,"Corn","IL",201
193.09,7.77,"43316",2016-05-07,2016-10-14,36000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Corvus, Roundup",NA,NA,40.11,-88.82,"Corn","IL",2016
230.8,6.1,"43317",2016-04-14,2016-10-20,34500," Soybeans",30," Silt Loam"," Field Cultivation"," Harness, Liberty",NA,NA,42.54,-93.99,"Corn","IA",2016
67.52,4.9,"43321",2016-05-06,2016-10-05,110000," Corn",30," Silty Clay Loam"," No-Till"," Authority Elite, Roundup",NA,NA,40.74,-89.14,"Soybean","IL",2016
77.4,3.64,"43322",2016-05-06,2016-10-15,125000," Corn",30," Silty Clay Loam"," Conv.-Till"," Flexstar",NA,NA,40.44,-89.05,"Soybean","IL",2016
221.23,11.68,"43323",201-05-06,201-10-01,36000," Corn",30," Clay Loam"," Field Cultivation"," None",NA,NA,42.31,-93.48,"Corn","IA",201
219.59,10.21,"43324",201-05-06,201-10-17,34000," Corn",30," Clay Loam"," Field Cultivation"," None",NA,NA,42.3,-93.8,"Corn","IA",201
60.59,9.16,"43326",2016-05-09,2016-10-01,140000," Corn",30," Clay Loam"," Field Cultivation"," None",NA,NA,42.71,-93.77,"Soybean","IA",2016
239.22,9.69,"43329",2016-04-18,2016-09-20,35000," Soybeans",30," Silt Loam"," Conv.-Till"," 16 oz Halex GT, 2.5 qt Acuron",NA,NA,40.49,-88.56,"Corn","IL",2016
235.85,13.57,"43330",2016-04-17,2016-09-20,34000," Soybeans",30," Silt Loam"," Field Cultivation"," Boundary, Corvus, Roundup",NA,NA,40.31,-88.97,"Corn","IL",2016
224.33,8.06,"43331",2016-04-19,2016-09-26,35000," Soybeans",30," Silty Clay Loam"," Chisel"," Halex GT",NA,NA,40.16,-89.05,"Corn","IL",2016
217.13,13.69,"43333",201-04-26,201-10-07,35000," Corn",30," Silty Clay Loam"," Vertical-Till"," 32oz Roundup PowerMAX",NA,NA,40.05,-89.44,"Corn","IL",201
205.1,8.75,"43334",2016-05-06,2016-10-05,35000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Lumax + Aatrex",NA,NA,40.08,-88.97,"Corn","IL",2016
231.04,8.86,"43338",201-04-06,201-10-13,34500," Soybeans",30," Sandy Clay Loam"," No-Till"," 2 Qt Bicep II Magnum, 3.6 Pt Halex GT",NA,NA,41.86,-93.03,"Corn","IA",201
68.21,2.42,"43340",2016-05-08,2016-10-24,130000," Corn",15," Silty Clay Loam"," Chisel"," Liberty",NA,NA,40.16,-88.74,"Soybean","IL",2016
243.69,8.82,"43349",201-05-09,201-10-01,34000," Soybeans",30," Sandy Clay Loam"," Field Cultivation"," Roundup",NA,NA,41.88,-94.71,"Corn","IA",201
178.2,NA,"43354",2016-05-06,2016-10-24,35000," Soybeans",30," Sandy Loam"," Vertical-Till"," 83 oz./ac. Acuron, 32 oz./ac. Roundup",NA,NA,41.37,-84,"Corn","OH",2016
66.94,4.35,"43357",2016-05-06,2016-10-18,149500," Corn",30," Clay Loam"," Vertical-Till"," Extreme, Sharpen, Liberty, Fusilade DX",NA,NA,40.49,-89.61,"Soybean","IL",2016
226.16,9.14,"43360",2016-05-07,2016-10-18,32000," Soybeans",30," Sandy Clay Loam"," No-Till"," Roundup PowerMAX",NA,NA,41.33,-94.45,"Corn","IA",2016
231.29,18.92,"43365",201-05-05,201-10-17,35500," Soybeans",30," Silt Loam"," Field Cultivation"," Harness Xtra, Impact, 32 oz. Roundup",NA,NA,42.04,-92.09,"Corn","IA",201
216.74,13.19,"43366",201-05-06,201-10-31,34000," Soybeans",30," Silt"," Field Cultivation"," Corvus",NA,NA,41.69,-92.36,"Corn","IA",201
209.36,15.97,"43367",201-04-27,201-09-29,36000," Soybeans",20," Clay Loam"," Chisel / Field Cultivation"," 2qt/ac Valor, 1qt/ac Roundup",NA,NA,40.58,-86.08,"Corn","IN",201
235.48,10.37,"43371",201-05-06,201-10-20,34600,NA,NA," Clay Loam",NA," 13 oz/acre Verdict, 8 oz/acre Outlook, 35",NA,NA,42.84,-90.58,"Corn","WI",201
216.26,11.18,"43374",2016-05-06,2016-09-22,32000," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," Break Free, Roundup WeatherMAX",NA,NA,39.7,-89.48,"Corn","IL",2016
225.74,12.98,"43377",2016-05-06,2016-11-01,34000," Soybeans",30," Silt Loam"," No-Till / Conv.-Till"," None",NA,NA,43.98,-88.16,"Corn","WI",2016
206.08,13.07,"43378",2016-05-06,2016-10-28,34000," Corn",30," Silt Loam"," Conv.-Till"," None",NA,NA,44.04,-88.21,"Corn","WI",2016
210.92,9.32,"43379",2016-05-06,2016-10-21,34000," Soybeans",30," Silt Loam"," Chisel / Field Cultivation / Conv.-Till"," None",NA,NA,44.04,-88.14,"Corn","WI",2016
206.72,9,"43380",201-04-09,201-10-01,34000," Soybeans",30," Sandy Loam"," Conv.-Till"," None",NA,NA,36.88,-89.46,"Corn","MO",201
215.39,9.01,"43381",2016-05-06,2016-10-01,30000," Soybeans",30," Silt Loam"," Field Cultivation"," Roundup Original",NA,NA,41.42,-94.6,"Corn","IA",2016
208.17,8.93,"43383",201-04-26,201-10-01,34000," Soybeans",30," Silty Clay"," No-Till"," Roundup",NA,NA,41.67,-94.86,"Corn","IA",201
74.71,3.41,"43387",2016-05-07,2016-10-11,140000," Corn",30," Sandy Clay Loam"," No-Till"," 32 oz Roundup",NA,NA,40.42,-90.43,"Soybean","IL",2016
162.96,14.58,"43388",2016-04-22,2016-10-04,28700," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Anthem",NA,NA,38.15,-89.94,"Corn","IL",2016
242.34,17.72,"43389",201-04-17,201-09-18,34000," Soybeans",30," Silt Loam"," Field Cultivation"," None",NA,NA,40.67,-90.45,"Corn","IL",201
201.82,12.05,"43390",201-05-07,201-10-28,35000," Soybeans",30," Silt Loam"," No-Till"," None",NA,NA,40.63,-90.5,"Corn","IL",201
73.49,5.83,"43391",2016-05-12,2016-10-01,130000," Corn",30," Silt Loam"," No-Till"," 2.75 oz Valor, 1 qt Liberty",NA,NA,41.34,-91.96,"Soybean","IA",2016
203.33,13.86,"43392",2016-05-08,2016-10-12,30000," Soybeans",30," Clay Loam"," No-Till"," 1 Qt. Roundup, 14 oz Verdict",NA,NA,37.08,-84.81,"Corn","KY",2016
77.78,6.95,"43394",2016-05-09,2016-09-30,140000," Corn",15," Silt Loam"," Field Cultivation"," Authority, Liberty",NA,NA,41.71,-90.77,"Soybean","IA",2016
196.9,8.89,"43402",2016-04-15,2016-09-24,29000," Soybeans",30," Silty Clay Loam"," Field Cultivation / Conv.-Till"," Atrazine, Dual",NA,NA,39.22,-92.13,"Corn","MO",2016
60.75,8.71,"43403",2016-05-07,2016-10-14,165000," Corn",30," Silt Loam"," Field Cultivation"," 32 oz  Liberty",NA,NA,42.13,-91.6,"Soybean","IA",2016
161.9,14,"43404",201-04-13,201-09-20,30000," Soybeans",30," Silty Clay Loam"," Min.-Till"," Degree Xtra",NA,NA,39.05,-92.31,"Corn","MO",201
69.84,7.38,"43406",2016-05-16,2016-09-30,140000," Corn",30," Clay"," Field Cultivation / Disc"," Roundup",NA,NA,41.73,-95.54,"Soybean","IA",2016
70.78,4.27,"43407",2016-05-05,2016-10-17,135000," Corn",30," Silty Clay Loam"," No-Till"," Liberty",NA,NA,40.7,-89.85,"Soybean","IL",2016
80.83,3.79,"43408",2016-05-06,2016-09-29,135000," Corn",30," Silt Loam"," Field Cultivation"," Roundup",NA,NA,41.07,-89.53,"Soybean","IL",2016
236.44,18.12,"43413",201-05-06,201-10-03,33000," Soybeans",30," Sandy Clay Loam"," Field Cultivation"," Authority, SureStart",NA,NA,41.32,-86.13,"Corn","IN",201
57.3,3.04,"43416",2016-05-06,2016-10-01,130000," Corn",20," Loam"," Field Cultivation / Conv.-Till / Disk-Rip"," Roundup, Lexar",NA,NA,42.05,-93.41,"Soybean","IA",2016
61.08,2.45,"43420",2016-05-16,2016-10-18,149500," Corn",30," Clay"," No-Till"," Authority XL, Roundup",NA,NA,40.47,-89.58,"Soybean","IL",2016
178.33,9.47,"43422",201-04-25,201-09-27,30000," Corn",30," Sand"," No-Till"," Roundup Original Max",NA,NA,41.26,-88.25,"Corn","IL",201
227.76,12.21,"43424",201-04-18,201-09-24,36500," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Roundup PowerMAX",NA,NA,40.85,-87.44,"Corn","IN",201
212.54,10.46,"43425",201-05-07,201-10-01,36500," Soybeans",30," Loamy Sand"," Field Cultivation / Disc"," None",NA,NA,42.94,-94.68,"Corn","IA",201
74.34,4.23,"43430",2016-05-19,2016-10-10,155000," Corn",30," Sandy Clay Loam"," Field Cultivation / Disc / Bedder-Roller"," Roundup",NA,NA,42.56,-95.15,"Soybean","IA",2016
181.2,18.25,"43431",201-05-19,201-11-04,33500," Corn",30," Clay Loam"," Field Cultivation / Disc"," Roundup, SureStart",NA,NA,43.21,-95.1,"Corn","IA",201
69.92,7.15,"43434",2016-05-18,2016-10-12,150000," Corn",30," Silt Loam"," No-Till"," 32 oz. Liberty",NA,NA,41.62,-90.9,"Soybean","IA",2016
225.76,12.77,"43435",2016-05-19,2016-09-30,34000," Alfalfa",30," Silt Loam"," V-Rip / Field Cultivation"," Authority, Roundup PowerMAX",NA,NA,41.03,-91.32,"Corn","IA",2016
161.03,9.88,"43440",2016-05-18,2016-10-12,32000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA,NA,40.06,-84.83,"Corn","IN",2016
62.56,5.84,"43443",2016-05-22,2016-10-10,145000," Corn",30," Silt Loam"," No-Till"," None",NA,NA,40.58,-90.4,"Soybean","IL",2016
67.84,4.51,"43444",2016-05-22,2016-10-26,130000," Corn",30," Silt Loam"," No-Till"," None",NA,NA,40.63,-90.52,"Soybean","IL",2016
73.11,4.05,"43445",2016-05-19,2016-09-26,165000," Corn",15," Loam"," Chisel / Field Cultivation"," Liberty",NA,NA,40.31,-87.89,"Soybean","IL",2016
217.18,11.77,"43447",201-04-18,201-11-14,31000," Corn",30," Sandy Clay Loam"," Field Cultivation"," Roundup",NA,NA,46.25,-97.1,"Corn","ND",201
211.59,8.62,"43448",201-05-04,201-10-25,35000," Soybeans",30," Clay Loam"," Conv.-Till"," None",NA,NA,45.62,-95.92,"Corn","MN",201
175.6,20.14,"43450",2016-05-24,2016-11-04,32000," Soybeans",30," Clay Loam"," No-Till"," Generic Glyphosate",NA,NA,39.63,-85.16,"Corn","IN",2016
66.26,2.83,"43451",2016-05-23,2016-11-15,160000," Corn",30," Silt Loam"," Field Cultivation"," Roundup Original Max",NA,NA,41.48,-87.91,"Soybean","IL",2016
68.44,3.62,"43453",2016-05-20,2016-10-11,143500," Corn",15," Clay Loam"," No-Till"," Liberty",NA,NA,39.96,-86.4,"Soybean","IN",2016
79.69,7.57,"43454",2016-05-06,2016-10-01,180000," Corn",15," Silty Clay Loam"," Conv.-Till"," None",NA,NA,41.3,-92.93,"Soybean","IA",2016
212.63,12.75,"43456",2016-05-20,2016-11-05,29900," Soybeans",38," Silt Loam"," No-Till"," Roundup PowerMAX",NA,NA,40.92,-94.9,"Corn","IA",2016
233.28,15.33,"43457",201-05-17,201-10-12,35000," Corn",30," Silty Clay Loam"," Conv.-Till"," Harness, Halex GT",NA,NA,42.95,-95,"Corn","IA",201
67.68,4.35,"43460",2016-05-19,2016-10-12,140000," Corn",30," Silty Clay Loam"," Conv.-Till"," Roundup",NA,NA,43.19,-95.57,"Soybean","IA",2016
225.43,10.77,"43461",201-05-16,201-10-14,35000," Soybeans",30," Silty Clay Loam"," Conv.-Till"," SureStart, Roundup",NA,NA,42.9,-95.94,"Corn","IA",201
217.63,16.04,"43462",201-05-16,201-10-25,35000," Corn",30," Silty Clay Loam"," Conv.-Till"," Halex GT, Verdict, Atrazine",NA,NA,43.06,-96.04,"Corn","IA",201
240.57,11.29,"43463",201-05-20,201-10-03,35000," Soybeans",30," Clay Loam"," Conv.-Till"," Halex GT, Verdict, Atrazine",NA,NA,42.99,-96.07,"Corn","IA",201
69.02,2.69,"43464",2016-05-27,2016-10-18,140000," Corn",15," Silty Clay Loam"," No-Till"," Roundup Original",NA,NA,42.97,-95.04,"Soybean","IA",2016
205.88,15.79,"43465",2016-05-14,2016-09-30,35000," Corn",30," Silty Clay Loam"," Min.-Till"," None",NA,NA,43.4,-96.27,"Corn","IA",2016
63.8,NA,"43466",2016-05-24,2016-10-06,145000," Corn",15," Silt Loam"," Vertical-Till"," 32 oz/acre Liberty, 12 oz/acre Intensity",NA,NA,38.52,-87.2,"Soybean","IN",2016
73.11,3.32,"43469",2016-05-24,2016-10-24,160000," Alfalfa",30," Clay Loam"," No-Till"," 32 oz post Roundup PowerMAX",NA,NA,40.88,-91.83,"Soybean","IA",2016
229.58,2.87,"43470",2016-04-26,2016-10-24,33000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Roundup PowerMAX",NA,NA,41.51,-94.13,"Corn","IA",2016
